experiment,run_id,pearson_mean,overall_pearson,tanimoto_pearson,rmse_mean,mae_mean,spearman_mean,r2_mean,runtime_sec,mode,delta_pearson
concat_1d3d,run_20260125_203507,0.41384379267692567,0.42685559391975403,0.855305115735379,0.31320870518684385,0.2690251648426056,0.3915506220285433,0.15572686587068618,7.3,None,-0.44146132305845337
cosine_avg,run_20260125_204552,0.9024072527885437,0.8988850712776184,0.855305115735379,0.22829562425613403,0.18530526161193847,0.8916949514808298,0.5423088257723974,0.0,avg,0.04710213705316468
cosine_linear,run_20260125_204642,0.9038351893424987,0.8953267335891724,0.855305115735379,0.15417598485946654,0.12453396022319793,0.8931981871290011,0.7936701879299637,0.02,linear,0.048530073607119695
cosine_linear_tani,run_20260125_210424,0.918023657798767,0.9142453670501709,0.855305115735379,0.14018069803714753,0.1149718776345253,0.9035830337443818,0.8285827470713182,0.0,linear,0.062718542063388
cosine_mlp,run_20260125_210424,0.9192665696144104,0.9115796089172363,0.855305115735379,0.14212110936641692,0.10765845477581024,0.8919236086896178,0.8248844306557743,4.76,mlp,0.0639614538790314
cosine_ridge,run_20260125_210423,0.901876938343048,0.893025815486908,0.855305115735379,0.15588570535182952,0.12528454661369323,0.8916015149678899,0.7889192747303027,0.0,ridge,0.04657182260766901
cosine_ridge_z,run_20260125_210424,0.9039950370788574,0.8954946994781494,0.855305115735379,0.15404807925224304,0.12444254010915756,0.8926727337800937,0.7939885436363403,0.0,ridge,0.04868992134347838
cosine_xgb,run_20260125_210430,0.8941938638687134,0.8899455666542053,0.855305115735379,0.15837399661540985,0.11648045182228088,0.8548192994322598,0.7832182457946051,1.5,xgb,0.03888874813333432
drop_2d,run_20260125_203000,0.4733546137809753,0.47285982966423035,0.855305115735379,0.30880832076072695,0.26858493089675906,0.4719642953696822,0.17989236972473244,15.58,None,-0.3819505019544037
legacy,run_20260125_201628,0.3532923966646194,0.3315347731113434,0.855305115735379,0.32861379384994505,0.2805035084486008,0.28514828345606125,0.07402838467728885,17.87,None,-0.5020127190707596
light_finetune,run_20260125_210533,0.16612610816955567,0.08608929812908173,nan,0.7059079885482789,0.634027624130249,0.15201259461077626,-3.930378177206209,46.62,None,nan
